Program Name,Division Name,Account First Name,Account Last Name,Player First Name,Player Last Name,Player Gender,Player Birth Date,User Email,Order No,Where is your preferred location for practice?,Where is your preferred location for practice?,Player Age
2022-2023 Recreational Soccer FULL YEAR,U10  Coed,pfname1,pname1,fname1,lname1,Female,5/11/13,example@gmail.com,12345678,,Los Alamos,9
2022-2023 Recreational Soccer FULL YEAR,U10  Coed,pfname1,pname1,fname2,lname2,Male,5/11/13,example@gmail.com,12345678,,Los Alamos,9
2022-2023 Recreational Soccer FULL YEAR,U11  Coed,pfname2,pname2,fname3,lname3,Female,4/5/12,example@gmail.com,12345680,,Los Alamos,10
2022-2023 Recreational Soccer SPRING ONLY,U10 - Coed,pfname3,pname3,fname4,lname4,Female,1/28/13,example@gmail.com,12345681,White Rock,,9
2022-2023 Recreational Soccer SPRING ONLY,U6 - Coed,pfname4,pname4,fname5,lname5,Female,11/24/17,example@gmail.com,12345682,Los Alamos,,5
2022-2023 Recreational Soccer SPRING ONLY,U6 - Coed,pfname5,pname5,fname6,lname6,Male,2/20/17,example@gmail.com,12345683,White Rock,,5
2022-2023 Recreational Soccer SPRING ONLY,U7 - Coed,pfname6,pname6,fname7,lname7,Male,10/3/16,example@gmail.com,12345684,Los Alamos,,6
2022-2023 Recreational Soccer SPRING ONLY,U7 - Coed,pfname7,pname7,fname8,lname8,Male,5/20/16,example@gmail.com,12345685,White Rock,,6
2022-2023 Recreational Soccer SPRING ONLY,U9 - Coed,pfname8,pname8,fname9,lname9,Male,3/20/14,example@gmail.com,12345686,Los Alamos,,8
2022-2023 Recreational Soccer SPRING ONLY,U9 - Coed,pfname9,pname9,fname10,lname10,Male,10/17/14,example@gmail.com,12345687,White Rock,,8
2022-2023 Recreational Soccer SPRING ONLY,U9 - Coed,pfname10,pname10,fname11,lname11,Female,11/6/14,example@gmail.com,12345688,White Rock,,8
2022-2023 Recreational Soccer SPRING ONLY,U9 - Coed,pfname11,pname11,fname12,lname12,Male,2/16/14,example@gmail.com,12345689,White Rock,,8
2022-2023 Recreational Soccer SPRING ONLY,U9 - Coed,pfname12,pname12,fname13,lname13,Female,12/9/14,example@gmail.com,12345690,Los Alamos,,8
